count,country,day,issue,language,month
1,CH,2017-10-22,invasive species,fr,2017-10
7,CH,2017-10-22,climate change,fr,2017-10
2,BE,2017-10-22,ecology,nl,2017-10
1,FR,2017-10-22,natural capital,fr,2017-10
1,SE,2017-10-22,ecology,fr,2017-10
1,FR,2017-10-22,subspecies,fr,2017-10
1,DK,2017-10-22,sustainability,fr,2017-10
1,DK,2017-10-22,climate change,fr,2017-10
2,MA,2017-10-22,sustainability,fr,2017-10
1,CA,2017-10-22,ecology,fr,2017-10
145,ID,2017-10-22,biosphere,in,2017-10
51,US,2017-10-22,biosphere,in,2017-10
1,NL,2017-10-22,biodiversity,in,2017-10
1,NL,2017-10-22,biosphere,in,2017-10
7,BE,2017-10-22,climate change,fr,2017-10
2,ID,2017-10-22,extinction,in,2017-10
10,US,2017-10-22,ecology,in,2017-10
2,CD,2017-10-22,climate change,fr,2017-10
15,CO,2017-10-22,biosphere,in,2017-10
2,MY,2017-10-22,biosphere,in,2017-10
1,SG,2017-10-22,biosphere,in,2017-10
8,NL,2017-10-22,ecology,in,2017-10
2,ID,2017-10-22,climate change,in,2017-10
6,ID,2017-10-22,sustainability,in,2017-10
2,CO,2017-10-22,ecology,in,2017-10
1,DE,2017-10-22,biosphere,in,2017-10
1,ID,2017-10-22,endangered species,in,2017-10
1,ID,2017-10-22,biodiversity,in,2017-10
1,US,2017-10-22,biodiversity,in,2017-10
1,US,2017-10-22,extinction,in,2017-10
1,US,2017-10-22,sustainability,in,2017-10
1,BG,2017-10-22,climate change,fr,2017-10
1,CC,2017-10-22,climate change,fr,2017-10
1,ID,2017-10-22,protected area,in,2017-10
2,CO,2017-10-22,sustainability,in,2017-10
1,US,2017-10-22,wildlife trade,in,2017-10
72,RU,2017-10-22,ecology,ru,2017-10
1,KZ,2017-10-22,ecology,ru,2017-10
1,LV,2017-10-22,ecology,ru,2017-10
5,RU,2017-10-22,extinction,ru,2017-10
1,AZ,2017-10-22,extinction,ru,2017-10
8,RU,2017-10-22,sustainability,ru,2017-10
2,IT,2017-10-22,ecology,ru,2017-10
1,RU,2017-10-22,genetic diversity,ru,2017-10
4,RU,2017-10-22,biodiversity,ru,2017-10
3,RU,2017-10-22,climate change,ru,2017-10
1,GB,2017-10-22,extinction,ru,2017-10
2,RU,2017-10-22,deforestation,ru,2017-10
1,US,2017-10-22,ecology,ru,2017-10
1,GB,2017-10-22,ecology,ru,2017-10
1,FM,2017-10-22,extinction,ru,2017-10
3,DE,2017-10-22,ecology,ru,2017-10
1,BY,2017-10-22,extinction,ru,2017-10
1,IN,2017-10-22,ecology,ru,2017-10
1,CZ,2017-10-22,ecology,ru,2017-10
1,,2017-10-22,ecology,ru,2017-10
1,US,2017-10-22,deforestation,ru,2017-10
1,US,2017-10-22,climate change,ru,2017-10
1,KZ,2017-10-22,subspecies,ru,2017-10
1,US,2017-10-22,subspecies,ru,2017-10
2,RU,2017-10-22,subspecies,ru,2017-10
9,IT,2017-10-22,extinction,it,2017-10
1,UA,2017-10-22,sustainability,ru,2017-10
1,DE,2017-10-22,desertification,it,2017-10
4,US,2017-10-22,sustainability,it,2017-10
2,IT,2017-10-22,protected area,it,2017-10
1,SG,2017-10-22,desertification,hi,2017-10
1,CH,2017-10-22,biosphere,de,2017-10
9,DE,2017-10-22,ecology,de,2017-10
3,DE,2017-10-22,biodiversity,de,2017-10
28,DE,2017-10-22,sustainability,de,2017-10
20,DE,2017-10-22,biosphere,de,2017-10
5,US,2017-10-22,sustainability,hi,2017-10
1,CH,2017-10-22,ecology,de,2017-10
1,DE,2017-10-22,desertification,de,2017-10
1,SG,2017-10-22,climate change,hi,2017-10
1,DE,2017-10-22,deforestation,de,2017-10
1,CO,2017-10-22,climate change,hi,2017-10
1,CH,2017-10-22,deforestation,de,2017-10
6,DE,2017-10-22,species diversity,de,2017-10
1,AT,2017-10-22,deforestation,de,2017-10
9,DE,2017-10-22,extinction,de,2017-10
1,CH,2017-10-22,extinction,de,2017-10
4,CH,2017-10-22,sustainability,de,2017-10
1,AT,2017-10-22,extinction,de,2017-10
1,AT,2017-10-22,species diversity,de,2017-10
1,IT,2017-10-22,sustainability,de,2017-10
1,UA,2017-10-22,sustainability,de,2017-10
2,CN,2017-10-22,protected area,zh,2017-10
1,CN,2017-10-22,sustainability,zh,2017-10
1,TW,2017-10-22,ecology,zh_t,2017-10
1,TW,2017-10-22,habitat destruction,en,2017-10
