country,month,trends,twitter,news,overall
CI,2018-1,4.86363636364,6.84523809524,2.15736040609,4.62207828832
CR,2018-1,2.77272727273,2.27787926139,2.88653615661,2.64571423024
CK,2018-1,,,,
CD,2018-1,2.04545454545,10.0612423447,4.15309446254,5.4199304509
ME,2018-1,,2.43231810491,1.99244163796,2.21237987144
CO,2018-1,8.22727272727,8.16798151247,4.80636051906,7.0672049196
CC,2018-1,,,1.43357550597,
CX,2018-1,,,,
GL,2018-1,,,,
TD,2018-1,1.63636363636,,,
MZ,2017-12,4.86363636364,,18.0694980695,11.4665672166
TO,2018-2,,24.6187363834,9.9173553719,17.2680458777
KI,2018-2,,,,
SI,2017-12,1.68181818182,1.26926563917,0.463277465338,1.13812042877
PL,2017-11,4.68181818182,0.453333816889,0.737884509087,1.95767883593
AW,2017-11,,,3.7037037037,
LI,2017-11,,7.32600732601,2.01149425287,4.66875078944
QA,2017-12,1.13636363636,0.158793171894,4.13610251878,1.81041977568
VE,2017-12,3.72727272727,0.909852461998,3.32028191073,2.65246903333
TF,2018-1,,,,
BO,2017-12,11.0,1.06151075727,11.7717717718,7.94442750968
CG,2018-1,,7.73889636608,,
LB,2017-12,3.22727272727,0.886138265701,1.14188117604,1.75176405634
GB,2018-2,9.13636363636,5.98090123017,3.10094818574,6.07273768409
BT,2017-11,,,100.0,
SV,2018-1,9.27272727273,5.74653226501,3.01418439716,6.0111479783
MF,2017-11,,,,
BO,2017-11,27.9090909091,0.962278675905,9.37818552497,12.7498517033
MW,2017-11,,2.19538968167,14.8148148148,8.50510224824
TN,2018-1,0.590909090909,4.89755358917,0.571364552991,2.01994241102
MY,2018-2,5.13636363636,1.60602615122,3.08414347972,3.2755110891
CZ,2018-1,5.40909090909,4.07599064294,1.50805545148,3.66437900117
PN,2017-11,,,,
BR,2017-12,6.5,0.262996861224,7.3935255726,4.71884081128
PG,2017-11,4.54545454545,0.673740946606,19.0327613105,8.08398560084
NG,2018-1,5.0,2.66869053461,3.77410133204,3.81426395555
MA,2018-2,5.81818181818,2.09278636911,0.925484858796,2.9454843487
RE,2017-11,1.18181818182,1.73913043478,18.8976377953,7.27286213729
TC,2018-2,,,,
BO,2018-1,4.90909090909,2.95873211897,6.24829839368,4.70537380725
EH,2018-1,,,,
GA,2017-12,8.45454545455,6.12021857923,2.33183856502,5.6355341996
TL,2017-11,,,3.80952380952,
CY,2017-11,1.04545454545,0.501378791677,3.59320916433,1.71334750049
CK,2017-11,,,,
BW,2017-11,,0.593912397921,5.76368876081,3.17880057936
LV,2018-1,0.545454545455,,0.691924159685,0.61868935257
LR,2017-11,,1.87705302675,,
